所要時間範囲,所要時間,乗り換え回数,駅名,lon,lat,鉄道会社,路線名,建物種別,間取り,月額
31-40分,36分,乗換1回,二子玉川,139.626685,35.611788,東急,大井町線,賃貸マンション,1LDK,18.65
31-40分,38分,乗換1回,溝の口,139.610487,35.59984,東急,大井町線,賃貸マンション,1LDK,15.65
31-40分,39分,乗換1回,二子新地,139.622338,35.606994,東急,大井町線,賃貸マンション,1LDK,14.11
31-40分,31分,乗換1回,鈴木町,139.720655,35.53535,京急,大師線,賃貸マンション,1LDK,12.55
31-40分,33分,乗換1回,川崎大師,139.725946,35.535711,京急,大師線,賃貸マンション,1LDK,12.02
31-40分,34分,乗換1回,東門前,139.734298,35.536566,京急,大師線,賃貸マンション,1LDK,12.86
31-40分,32分,乗換0回,押上,139.812935,35.710702,都営,浅草線,賃貸マンション,1LDK,19.21
31-40分,32分,乗換1回,菊川,139.806016,35.688379,都営,新宿線,賃貸マンション,1LDK,18.8
31-40分,34分,乗換1回,住吉,139.815681,35.689073,都営,新宿線,賃貸マンション,1LDK,19.03
31-40分,34分,乗換2回,曙橋,139.722881,35.692402,都営,新宿線,賃貸マンション,1LDK,18.91
31-40分,36分,乗換1回,西大島,139.826206,35.689349,都営,新宿線,賃貸マンション,1LDK,16.04
31-40分,37分,乗換1回,大島,139.83565,35.689905,都営,新宿線,賃貸マンション,1LDK,15.1
31-40分,40分,乗換1回,東大島,139.845963,35.690355,都営,新宿線,賃貸マンション,1LDK,18.07
31-40分,37分,乗換1回,浅野,139.695739,35.497555,ＪＲ,鶴見線（鶴見-扇町）,賃貸マンション,1LDK,10.19
31-40分,32分,乗換1回,雑色,139.715005,35.549725,京急,本線,賃貸マンション,1LDK,17.04
